name,city,price
Grand Cape Town Amazing Space Loft,Cape Town,3426
GORGEOUS ART DECO 3 bed FRESNAYE,Cape Town,1398
Woodbridge Island Townhouse,Cape Town,1203
"House Cherry 
Breathtaking Suite1 
Sleeps 2",Cape Town,895
Molo room - Cape Town,Cape Town,965
Intaba room - Cape Town,Cape Town,895
Sunny Sea Point 1-Bed apartment,Cape Town,797
찰리하우스....남아공 케이프타운 여행과 한인민박,Cape Town,2098
African Sun,Cape Town,727
Avatara Bed and Breakfast,Cape Town,2098
2 bed apartment with private pool,Cape Town,1496
Klipview Beach Cottage -Scarborough,Cape Town,1608
In the heart of beautiful Cape Town,Cape Town,629
Beautiful Heritage Home,Cape Town,7202
Elegant Beachfront Home. Balcony & Parking,Cape Town,909
Complete Modern Living. Urban Location. Canal View,Cape Town,741
Tristan's Beach House - Cape Town,Cape Town,3496
Wessels House Studio,Green Point,1231
Wessels House - Inner City Oasis - Sleeps 8,Green Point,8097
Cape Town Holiday House,Cape Town,1203
Stay at the foot of Table Mountain!,Cape Town,1622
Gables Rest Self Catering Unit Somerset West,Cape Town,1147
2 bedroom with a spectacular view,Cape Town,937
"Woodstock House, Cape Town",Cape Town,1105
Architectural Home Magnificent View,Cape Town,4153
Lovely Warm Woodstock Home,Cape Town,1370
Glen Beach Villa Three Beach Views and Great Location,Cape Town,5006
CAMPS BAY Glen Beach Bungalow Pent,Cape Town,3804
"Bright, Colorful Green Point Apartment, Exclusive Poolside Views of the Ocean.",Cape Town,895
"19 LOADER STR, De Waterkant",Cape Town,1203
123 Ocean View Dr Apartment,Cape Town,895
The Perfect Holiday Home in Cape Town,Cape Town,2657
Cosy Cape Town Beach Cottage In Security Estate,Cape Town,1105
Pineapple Cottage - Kalk Bay,Cape Town,1147
8 On Burnside Under Table Mountain!,Cape Town,1105
Lovely Room in 'The White House',Cape Town,406
A beautiful spot not to be missed,Cape Town,1370
The Lions Guest House–Elephant Room,Cape Town,1608
Apartment Jade,Cape Town,2503
Leopard Room  -Lions Guest House,Cape Town,1608
Rhino Room - Lions Guest House,Cape Town,1245
Whale Room - Lions Guest House,Cape Town,1245
The perfect place to stay and meet,Cape Town,475
Zaida's Spacious Garden Cottage,Cape Town,685
Zaida's Private Backpackers Den,Cape Town,350
Zaida's Comfy. Cozy Guest Rooms,Cape Town,392
Blue Charm Garden Cottage,Cape Town,503
Stunning apt on Clifton 1st beach,Cape Town,1203
"Spacious, Peaceful Estate with Mountain Views",Cape Town,1496
Bay Splendour in Simon's Town (Self Catering),Cape Town,1496
"Portswood , 1 Bedroom",Cape Town,1301
Stylish Fully Equipped City Loft,Cape Town,895
Llandudno lovely loft,Cape Town,797
The perfect place to stay and meet,Cape Town,517
Climbing grotto with sea views,Cape Town,783
Villa in unique natural surrounds,Cape Town,9999
Unusual historic gem in the city of Cape Town,Cape Town,797
Graaff Ave Milnerton,Cape Town,1902
Blue Oceans - Llandudno,Cape Town,1245
Mountain View Studio Apartment,Cape Town,1049
THE SEXIEST APARTMENT FOR 4 IN Cape Town,Cape Town,2028
Lakehouse on the water in Ecoestate,"Noordhoek, Cape Town",6992
Garden Studio,Cape Town,853
At Greenmarket Place apartment - stunning views,Cape Town,853
The VIEW!! ★ Perfect for Longer Stays,Cape Town,545
"Kapstadt, Milnerton Garden Cottage",Cape Town,951
Belvedere on Barkley - Oak Suite,Cape Town,685
Table Mountain View Bachelor Home Away From Home,Cape Town,1049
The Loft,Cape Town,2797
Island Views 302,Cape Town,2098
luxury home in upmarket constantia,Cape Town,6992
Neptune Isle 202,Cape Town,1105
Neptune Isle 301,Cape Town,2098
Penthouse with Panoramic Sea Views,Bakoven,6601
Penthouse with Sweeping Sea and Mountain Views,Cape Town,8475
Breathtaking Ocean Views from a Luxury Beach Villa,Cape Town,9132
Contemporary Serviced Apartment near Bakoven Beaches,Bakoven,21998
"Best location with pool, 50 meters to Beach",Cape Town,9132
"Primaview, Camps Bay, Cape Town",Cape Town,1398
Braemar Cottage,Cape Town,951
MY AFRICA HOME Home away from home,Cape Town,1846
Spacious room in heart of Cape Town,Cape Town,252
Apartment Table View,Cape Town,923
"Long lease, Cape Town, unfurnished.",Cape Town,364
"Spacious, light, idyllic family home",Cape Town,1748
Harbour Lights-Simon's Town,Cape Town,1524
"2 Bed apt, close to Camps Bay beach with a garage",Cape Town,2601
"Sea view Villa in Secure Gated  Estate ,Cape Town",Cape Town,5496
"Afribode Alexander's, Mutual Heights 904 Cape Town",Cape Town,1301
Afribode Acacia Place - Cape Town one-bedroom loft,Cape Town,1203
Afribode AfriNest - colourful 2-bedroom loft,Cape Town,1398
Gorgeous and comfortable home with warm family,Cape Town,406
DUCKS CROSSING,Cape Town,2405
Family beachouse in Scarborough!,Cape Town,1161
Clifton Beach House Seascape,Cape Town,5496
Dolphin Inn Guesthouse Blouberg close to the beach,Cape Town,1105
Bright 5 bedroom house walking distance to beach,Cape Town,2000
SERENITY LODGE - ANTONY'S PLACE,Cape Town,1706
Self Catering Garden Cottage,Cape Town,1496
Afribode Antares 704 Mutual Heights loft apartment,Cape Town,1203
Afribode Cape Citi Loft - Mutual 712 one bedroom,Cape Town,1496
Large self catering en-suites,Cape Town,629
Live the life,Cape Town,1972
Modern Sea View Villa in Camps Bay,Cape Town,3496
Affordable Six Bed Sea View Villa W/pool in Camps Bay,Cape Town,6279
"Afribode Mutual Heights 715, views of Cape Town",Cape Town,1203
Afribode Heritage Loft Mutual 717 + trendy + views,Cape Town,1203
Afribode Mutual Heights 810 One-bedroom Cape Town,Cape Town,1301
Afribode Citi-Loft 1-bedroom in Mutual Heights 911,Cape Town,1301
Between the Sea & the City,Cape Town,713
"African Icon, The Icon 501",Cape Town,1301
Afribode Icon 700 - Cape Town City Studio,Cape Town,1301
"Afribode Aeicon Suite in Icon 1001, Cape Town",Cape Town,1301
Beautiful Beach Flat,Cape Town,1091
Afribode Icon 1110 Two Bedroom Cape Town Apartment,Cape Town,1692
Afribode Rockefellers 106 in Trendy Cape Town,Cape Town,1692
Afribode Adenium seafront promenade apartment,Cape Town,1454
Studio Martini best central Cape Town location,Cape Town,1203
The Camps Bay Guesthouse,Cape Town,1846
Generous room in arty W'stock villa,Cape Town,280
Creative 1BD cottage in Constantia,Cape Town,685
Walk to Beach! Large Holiday House,Cape Town,1692
Tranquility and Views,Cape Town,2601
Fabulous 1-Bedroom De Waterkant Apt. WiFi included,Cape Town,1454
Double room available in Cape Town,Cape Town,224
Camps Bay Family Beach House & Pool,Cape Town,4797
Sunfilled  city apartment & gardencourtyard,Cape Town,1007
Upper Constantia Guest House,Cape Town,3077
SC TOPDECK,Cape Town,1734
Bungalow Beach Villa - Cape Town,Cape Town,5006
"Kommetjie Way, Kommetjie, Cape Town",Cape Town,3202
Top Floor 2 bed 2 bathroom luxury in Greenpoint,Cape Town,3007
The Perch-central self catering,Cape Town,503
Serendipity608 Blouberg Cape Town,Cape Town,1091
Cape Town Seamore-Express Tours & G,Cape Town,951
Top Sea View Apartment with Style!,Cape Town,629
Avocet Cape Town Villa home/apt in Cape Town,Cape Town,1049
Avocet Cape Town Villa Guest House,Cape Town,503
VILLA CARRARA E SELF-CATERING-VIEWS,Cape Town,797
"Contemporary Duplex with Balcony, Parking & Washer",Milnerton,601
905 The Decks on Long Street,Cape Town,1398
Unwind at a Bespoke Sea View Studio near the V&A Waterfront,Cape Town,1203
"Roomy Art Deco flat, Fresnaye/Sea Point, Cape Town",Cape Town,1426
7 Gilmour Hill,Cape Town,2196
Stunning 4br open plan holiday living in Cape Town,Cape Town,3496
Home from home - Central to Everywhere,Cape Town,755
Lagoon side living - a short stroll to the beach,Cape Town,1398
Terrace Apartment,Cape Town,1804
Bowden Palace | Big Room #1,Cape Town,294
Merridew - Walking distance to Camps Bay Beach,Cape Town,5398
Modern Luxury in Observatory,Cape Town,951
Gorgeous Villa with Sea Views,Cape Town,6866
Unique Lakeside House,Cape Town,2601
Private double room,Cape Town,545
Camps Bay family home with sea views,Cape Town,9593
Summit  Place Poolside Master Suite,Cape Town,979
Villa Tara,Cape Town,643
Room in cosy house with garden,Cape Town,601
"Navine's Homestay, Economy Double",Cape Town,461
Edwardian Apartment in Long Street,Cape Town,643
Magic Camps Bay Suite 1,Cape Town,1203
art deco 2 bedroomed apartment,Cape Town,2098
Slangkop Views Stylish Flat overlooking Long Beach,Cape Town,755
"Self Cater in Rondebosch, Cape Town",Cape Town,1245
sea view apartment,Cape Town,1426
#2  Centre Cape Town 165 Buitenkant st Gardens,Cape Town,601
Deluxe Double /,Cape Town,1119
Secret Garden Guesthouse,Cape Town,1370
Beautiful Kloof Street Bachelor Pad,Cape Town,489
"Style, Comfort, Views, Location!",Cape Town,1496
A site only 20mins away from town,Cape Town,797
A heaven of peace and relaxation !,Cape Town,7118
Villa Sunset,Cape Town,2210
Loft apartment in the wine district,Cape Town,643
Lovely 1-Bedroom De Waterkant Apt. WiFi included,Cape Town,1454
Spectacular Cape Town Views,Cape Town,601
Private room at Mountview B&B,Cape Town,1790
Single room in cozy cottage,Cape Town,350
"Mountain villa: beach, views & nature",Cape Town,2196
Spectacular Clifton 1st Beach Penthouse.,"Clifton, Cape Town",3188
Modern beach retreat,Cape Town,3846
Kalk Bay Cottage,Cape Town,2405
"130 Ocean View Drive · Open Plan · 
180° Views",Cape Town,1398
-MODERN-Light & Bright Apt with great VIEWS!,Cape Town,1650
"Constantia Valley, comfortable room",Cape Town,601
Apartment with amazing viewsfor up to 5 guests,Cape Town,1496
Stylish Room in Sea Point! ★ Perfect Location ★,Cape Town,420
Loft apartment with pool in central Cape Town,Cape Town,2000
Newly renovated apartment in Sea Point,Cape Town,4503
Binkabi Hout Bay,Cape Town,3804
Cape Point Cottage,Simon's Town,1245
Art Deco flat facing Table Mountain,Cape Town,1287
Bright Spacious w/ Sea-view Patios,Cape Town,1748
Bed and Breakfast on a Wine Estate,Cape Town,755
"Beautiful views, pool & balcony with 2 dbl rooms.",Cape Town,1301
Sunrise Vista Muizenberg,Cape Town,475
Entire home to rent in Cape Town,Cape Town,3398
Sunny Luxury Villa for x10 persons,Cape Town,8503
Big Bay La Paloma - 2 bedroom suite,Cape Town,853
Broadacres cottage.,Cape Town,2503
Cheviot Place Guest House,Cape Town,1552
SWIFT EXECUTIVE STUDIO APARTMENT #8,Cape Town,951
Junior Suite next to the beach,Cape Town,2210
Spacious Family Home in Claremont,Cape Town,2196
Atlantic Beach Golf Estate CPT,Cape Town,1496
"Market House, Flat 402.",Cape Town,867
Homely house close to the beach,Cape Town,1301
Villa Pascal Guest House,Cape Town,1007
Stunning Clifton Beach House,Cape Town,9006
Seahorses Sea View Apartment,Cape Town,1203
Largo House guest suite,Cape Town,448
Afribode Mutual Heights 811  Table Mountain views,Cape Town,1203
"Afribode Jocelyn, Bantry Bay seaview 2 bed/2 bath",Cape Town,1496
LOCATION LOCATION LOCATION !,Cape Town,755
Casa Bianca - Luxury Family Villa Close to Camps Bay Beach,Cape Town,5552
Modern city loft with large terrace,Cape Town,1580
Living like a Hollywood Star...,Cape Town,4587
Spacious studio with sunny deck in Tamboerskloof,Cape Town,587
ocean12_ beach apartment_OnShore,Cape Town,2349
living with friends in paradise,Cape Town,7901
Modern luxury 2 bed city apartment,Cape Town,1203
The Cape Cottage Simon's Town,Cape Town,1454
"Large, sunny, Sea Point apartment.",Cape Town,1594
Sandown Sojourn Cozy Garden Cottage,Cape Town,643
Contemporary luxury,Cape Town,3454
Villa Lalapanzi,Cape Town,6321
Eden On The Bay 230,Cape Town,1105
Home in leafy Bishopscourt Village,Cape Town,2028
Small furnished room by the sea,Cape Town,224
"Tranquil, secluded garden bedsit on mountain edge",Cape Town,475
private room in free standing house,Cape Town,350
Designer Penthouse Apartment for 2,Cape Town,1105
"LARGE FAMILY-FRIENDLY, BEACH HOUSE",Cape Town,1902
The Vagabond GH - Arabian Suite,Cape Town,1007
The Piazza 2 B/Rms Free Fiber Wi _ - heart of CPT,Cape Town,1496
"Views, trees, peace",Cape Town,4000
Villa in Constantia Cape Town,Cape Town,11999
Comfy and Central Room in Arty Apartment,Cape Town,350
Beautiful views; very well located,Cape Town,6852
Top Floor Apartment With Home Office & Fast WIFI,Cape Town,1007
Country cottage at the sea,Cape Town,1007
Beautiful Apartment near Cape Town: INTABA,Cape Town,1105
Spacious 3 bedroom Cottage in Vibey Observatory,Cape Town,1986
Open-plan garden flat + sunny patio,Cape Town,559
SALTY BREEZE - Fabolous GARDEN APARTMENT,Cape Town,475
Double-bed room in cozy cottage,Cape Town,406
Private flatlet close to everything,Cape Town,336
EXQUISITE VIEWS - HISTORIC BO KAAP,Cape Town,2797
En Suite Bedroom in Charming House,Cape Town,503
Prime Location in Beautiful Period House  (0),Cape Town,685
Head to Trendy Bree Street and Kloof Street from Casa Italia,Cape Town,1259
Magnificent Table Mountain views,Cape Town,559
Waves Edge:Amazing BEACH STYLE APARTMENT,Cape Town,475
Beautiful Victorian cottage near the sea,Cape Town,2895
Beautifull pristine  homely cottage,Cape Town,1203
Sundowners B,Cape Town,1496
Seafacing twin room Villa Sunshine,Cape Town,1384
Fine View - Huge Garden - Unlimited Wifi,Cape Town,448
Blackwood Cottage (6-sleeper),Cape Town,1021
SALTYBREEZE- Amazing GARDEN COTTAGE,Cape Town,448
"Knock-out view, spacious, Ocean View & Signal Hill",Cape Town,699
Dutch-Style Farmhouse Cottage with Tropical Garden,Cape Town,2503
Beautiful Southern Suburbs Home,Cape Town,713
SUPER CHIC LOFT IN THE HEART OF CAPE TOWN,Cape Town,489
Spacious Loft in Ace Location. Amazing City Views,Cape Town,881
Knightsbridge 407,Cape Town,1594
Family-friendly Home in Newlands,Cape Town,3300
Admire Table Bay from a Contemporary Hideaway,Cape Town,4895
Mountain Nest  -,Cape Town,671
Bishopscourt home holiday rental,Cape Town,2000
Cape Town Home,Cape Town,1398
Beach House on the Rocks,Cape Town,13355
secure modern apt by the sea,Cape Town,1398
Centr Cape Town Self-catering Wifi,Cape Town,699
*2BR Apartment - Amazing location - Free Parking*,Cape Town,1343
Luxury Green Point Apartment for 4,Cape Town,895
Scarborough One Hundred Hilltop,Cape Town,1301
"Central, safe, perfect for 2 apt",Cape Town,601
Afribode Cape Loft in Mutual Heights 217,Cape Town,1203
Summerseat Villa - Cape Town,Cape Town,783
Luxurious family home,Cape Town,5999
Double in fab retro Woodstock house,Cape Town,448
Cape Point Villa,Cape Town,1706
4BD SELFCATERING IN CAPE TOWN& WIFI,Cape Town,895
Beautiful home in leafy Constantia,Cape Town,6503
Coote's Classic Cape House 1800's,Cape Town,755
East of Eden,Cape Town,1259
Stunning Ocean View - Somerset West,Cape Town,1496
Collector's pad with great city & mountain views,Cape Town,1105
Muizenberg (Cape Town) village home,Cape Town,252
Light Designer Apartment in the Heart of the City,Cape Town,1119
Large family home with lovable cat,Cape Town,1930
Flat to rent in Green Point Village,Cape Town,1496
A Loft Suspended Between Mountain and Sea,Cape Town,797
"Charming garden cottage, central",Cape Town,1287
An African experience in Cape Town,Cape Town,895
"Lock Up&Go Close to Promenade, Pool & Transport",Cape Town,406
The perfect place to stay and meet,Cape Town,475
"Loloho Lodge Guest House, Sea Point",Cape Town,1077
Historical Farmhouse In Cape Town,Cape Town,5496
Contemporary 2 bed 2 bath apartment,Cape Town,2196
The Pumpkin Palace,Cape Town,895
Designer studio in Camps Bay -  aircon & fibre.,Cape Town,643
Holiday Flat in lovely Kommetjie,Cape Town,797
A STUNNING APARTMENT IN CAMPSBAY,Cape Town,2601
"Family home, Lakeside, Cape Town",Cape Town,1007
Private Room at Once in Cape Town,"Cape Town, 8001",741
Stunning Views Apartment near Waterfront,Cape Town,797
Stunning city home made for easy outdoor living,Cape Town,1440
Stunning Sea View Flat in Sea Point,Cape Town,1189
808 The Piazza on Church Square,Cape Town,1301
"Family holiday house in Fresnaye, Cape Town",Cape Town,3007
"Self-catering apartment with pool,patio & BBQ .",Cape Town,252
"Nautica Blouberg Beach, best views",Bloubergstrand,1454
"Amazing Views, Spacious Apartment",Cape Town,1007
The Bays B202,Cape Town,895
Atlanta Penthouse Balie Bay Camps Bay Cape Town,Cape Town,3650
"Spacious City Studio with Free Wifi, Parking & Gym",Cape Town,685
Inn Africa Beachfront Self Catering,Cape Town,951
House Lion Street,Cape Town,2000
Large Sunny Studio Apartment - CT Centre with View,Cape Town,1203
Spectacular Sea & Mountain Views,Cape Town,1496
Cape Town Penthouse with Views,Cape Town,951
Walk the Promenade from an Elegant Flat in Bantry Bay,Cape Town,3594
Uber Luxe Apartment near Saunders Rock Bantry Bay,Bantry Bay Cape Town,3594
Fully furnished apartment with Table Mountain view,Cape Town,601
"Stylish home, top location - Green Point Cape Town",Cape Town,4265
Charming house & beautiful garden,Cape Town,601
Beautiful & Spacious apartment,Cape Town,1007
Penthouse Decorated with Flair,Cape Town,4881
Time Share Peninsula Hotel Suite FEBRUARY 2019,Cape Town,2000
"ONE ON HOUGHTON, CAMPS BAY",Cape Town,7006
Jewel in the City,Cape Town,1496
"LagoonViews Apartment, Walborough, Great Sea Views",Cape Town,615
"Room with own bathroom and amazing view, central",Cape Town,406
Amazing mtn views newly renovated modern apartment,Cape Town,1398
Beauty View,Kapstadt,895
Your own Apartment @ Table Mountain,Cape Town,1049
Schön und Sichere Wohnung im City 1,Cape Town,713
"SELF CHECK IN,  Double En Suite Room 1, Fibre wifi",Cape Town,406
Top Location - Top Rates - Swimming Pool & Garden,Cape Town,1804
Camps Bay with great ocean views,Cape Town,839
Luxury Mountainous Private Retreat,Cape Town,13006
3 Bedroom family home in Hout Bay,Cape Town,1594
Artist's House in Colourful Bo Kaap,Cape Town,853
"Creative, modern, sea views",Cape Town,1496
Stroll to the Beach from a Central Camps Bay Apartment,Cape Town,1189
Highstrand Security apartment complex,Cape Town,797
100% CAPE TOWN Apartment !,Cape Town,1245
Trendy Apartment with Amazing View,Cape Town,643
